FILENAME	SEQ	COMPOUND_NAME	MOLECULEMASS	INSTRUMENT	IONSOURCE	EXTRACTSCAN	SMILES	INCHI	INCHIAUX	CHARGE	IONMODE	PUBMED	ACQUISITION	EXACTMASS	DATACOLLECTOR	ADDUCT	INTEREST	LIBQUALITY	GENUS	SPECIES	STRAIN	CASNUMBER	PI
16-epi-14-dehydrovincamine.mgf	*..*	16-epi-14-dehydrovincamine	353.1868	qTof	LC-ESI	17	CC[C@@]12C=CCN3[C@]1([H])C4=C(C5=C(C=CC=C5)N4[C@@](C(OC)=O)(O)C2)CC3	InChI=1S/C21H24N2O3/c1-3-20-10-6-11-22-12-9-15-14-7-4-5-8-16(14)23(17(15)18(20)22)21(25,13-20)19(24)26-2/h4-8,10,18,25H,3,9,11-13H2,1-2H3/t18-,20+,21-/m1/s1	N/A	1	Positive	N/A	Isolated	352.17869	Le Pogam	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
16-epi-dregamine.mgf	*..*	16-epi-dregamine	355.2015	qTof	LC-ESI	18	CN1[C@@]([C@]2([H])C(OC)=O)([H])CC3=C(C(CC2[C@H](CC)C1)=O)NC4=CC=CC=C43	InChI=1S/C21H26N2O3/c1-4-12-11-23(2)17-9-15-13-7-5-6-8-16(13)22-20(15)18(24)10-14(12)19(17)21(25)26-3/h5-8,12,14,17,19,22H,4,9-11H2,1-3H3/t12-,14?,17+,19+/m0/s1	N/A	1	Positive	N/A	Isolated	354.1943	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
16epiochropamine.mgf	*..*	16-epiochropamine	367.2017	qTof	LC-ESI	19	C/C=C1CN(C)[C@@H]2CC(C3=CC=CC=C3N4C)=C4C(C[C@@H]/1[C@H]2C(OC)=O)=O	InChI=1S/C22H26N2O3/c1-5-13-12-23(2)18-10-16-14-8-6-7-9-17(14)24(3)21(16)19(25)11-15(13)20(18)22(26)27-4/h5-9,15,18,20H,10-12H2,1-4H3/b13-5-/t15-,18+,20+/m0/s1	N/A	1	Positive	N/A	Isolated	366.1943	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
16epiperivine.mgf	*..*	16-epiperivine	339.1701	qTof	LC-ESI	20	C/C=C1CN[C@@H]2CC(C3=CC=CC=C3N4)=C4C(C[C@@H]/1[C@H]2C(OC)=O)=O	InChI=1S/C20H22N2O3/c1-3-11-10-21-16-8-14-12-6-4-5-7-15(12)22-19(14)17(23)9-13(11)18(16)20(24)25-2/h3-7,13,16,18,21-22H,8-10H2,1-2H3/b11-3-/t13-,16+,18+/m0/s1	N/A	1	Positive	N/A	Isolated	338.163	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
16epivobasine.mgf	*..*	16-epivobasine	353.1861	qTof	LC-ESI	21	C/C=C1CN(C)[C@@H]2CC(C3=CC=CC=C3N4)=C4C(C[C@@H]/1[C@H]2C(OC)=O)=O	InChI=1S/C21H24N2O3/c1-4-12-11-23(2)17-9-15-13-7-5-6-8-16(13)22-20(15)18(24)10-14(12)19(17)21(25)26-3/h4-8,14,17,19,22H,9-11H2,1-3H3/b12-4-/t14-,17+,19+/m0/s1	N/A	1	Positive	N/A	Isolated	352.1787	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
18_19_dihydrousambarine.mgf	*..*	18,19-dihydrousambarine	453.3013	qTof	LC-ESI	22	[H][C@@]12C[C@@](C[C@]3([H])N(C)CCC4=C3NC5=C4C=CC=C5)([H])[C@@H](CC)CN1CCC6=C2NC7=C6C=CC=C7	InChI=1S/C30H36N4/c1-3-19-18-34-15-13-24-22-9-5-7-11-26(22)32-30(24)28(34)17-20(19)16-27-29-23(12-14-33(27)2)21-8-4-6-10-25(21)31-29/h4-11,19-20,27-28,31-32H,3,12-18H2,1-2H3/t19-,20-,27-,28-/m0/s1	N/A	1	Positive	N/A	Isolated	452.294	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	67657-99-2	Mehdi Beniddir
18_hydroxyisosungucine.mgf	*..*	18-hydroxyisosungucine	651.333	qTof	LC-ESI	23	O=C1C([C@@]2([H])C[C@]34C5=CC=CC=C5N(C(C=C6)=O)[C@@]3([H])[C@]6([H])[C@H]7C[C@@H]4N2C/C7=C/C)C=C([C@H](/C(C8)=C\CO)C[C@@H]9N8CC%10)[C@@]%11([H])[C@]9%10C%12=CC=CC=C%12N%111	InChI=1S/C42H42N4O3/c1-2-23-22-44-34(20-42-31-8-4-5-9-32(31)45-37(48)12-11-25(38(42)45)26(23)19-36(42)44)29-17-28-27-18-35-41(14-15-43(35)21-24(27)13-16-47)30-7-3-6-10-33(30)46(39(28)41)40(29)49/h2-13,17,25-27,29,34-36,38-39,47H,14-16,18-22H2,1H3/b23-2-,24-13-/t25-,26-,27-,29?,34+,35-,36-,38-,39-,41+,42+/m0/s1	N/A	1	Positive	N/A	Isolated	650.3257	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	279258-78-5	Mehdi Beniddir
19_20_dehydroervatamine.mgf	*..*	19,20-dehydroervatamine	353.186	qTof	LC-ESI	27	CN(C1)C/C([C@]([C@]1(C(OC)=O)C2)([H])CC(C3=C2C4=CC=CC=C4N3)=O)=C\C	InChI=1S/C21H24N2O3/c1-4-13-11-23(2)12-21(20(25)26-3)10-15-14-7-5-6-8-17(14)22-19(15)18(24)9-16(13)21/h4-8,16,22H,9-12H2,1-3H3/b13-4+/t16-,21-/m0/s1	N/A	1	Positive	N/A	Isolated	352.1787	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	33228-82-9	Mehdi Beniddir
19_20_dihydrousambarensine.mgf	*..*	19,20-dihydrousambarensine	435.2543	qTof	LC-ESI	28	[H][C@@]12C[C@@](CC3=NC=CC4=C3NC5=C4C=CC=C5)([H])C(CC)CN1CCC6=C2NC7=C6C=CC=C7	InChI=1S/C29H30N4/c1-2-18-17-33-14-12-23-21-8-4-6-10-25(21)32-29(23)27(33)16-19(18)15-26-28-22(11-13-30-26)20-7-3-5-9-24(20)31-28/h3-11,13,18-19,27,31-32H,2,12,14-17H2,1H3/t18?,19-,27-/m0/s1	N/A	1	Positive	N/A	Isolated	432.2314	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	144548-37-8	Mehdi Beniddir
19_20_epoxynovacine.mgf	*..*	19,20-epoxynovacine	441.202	qTof	LC-ESI	29	O=C1C[C@@](OC[C@@H]2[C@]3(O2)CN(C)CC4)([H])[C@@]([C@@]3([H])CC5=O)([H])[C@@]6([H])[C@]54C7=CC(OC)=C(OC)C=C7N61	InChI=1S/C24H28N2O6/c1-25-5-4-23-12-6-15(29-2)16(30-3)8-14(12)26-20(28)9-17-21(22(23)26)13(7-18(23)27)24(11-25)19(32-24)10-31-17/h6,8,13,17,19,21-22H,4-5,7,9-11H2,1-3H3/t13-,17+,19-,21+,22+,23-,24+/m1/s1	N/A	1	Positive	N/A	Isolated	440.1947	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	19879-54-0	Mehdi Beniddir
19-20-dihydro-gelsemine.mgf	*..*	19,20-Dihydro-gelsemine	325.1903	qTof	LC-ESI	24	CC[C@]12C3CC4[C@]5(C1[C@@H](C3CO4)C(N2)C)C6=CC=CC=C6NC5=O	InChI=1S/C20H24N2O2/c1-3-19-13-8-15-20(12-6-4-5-7-14(12)21-18(20)23)17(19)16(10(2)22-19)11(13)9-24-15/h4-7,10-11,13,15-17,22H,3,8-9H2,1-2H3,(H,21,23)/t10?,11?,13?,15?,16-,17?,19+,20+/m1/s1	N/A	1	Positive	N/A	Isolated	324.1838	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
19-acetyl-tabersonine.mgf	*..*	19-acetyltabersonine	395.193	qTof	LC-ESI	25	O=C(C1=C(NC2=C3C=CC=C2)[C@]43[C@@]5([C@]([C@H](OC(C)=O)C)(C1)C=CCN5CC4)[H])OC	InChI=1S/C23H26N2O4/c1-14(29-15(2)26)22-9-6-11-25-12-10-23(21(22)25)17-7-4-5-8-18(17)24-19(23)16(13-22)20(27)28-3/h4-9,14,21,24H,10-13H2,1-3H3/t14-,21+,22+,23+/m1/s1	N/A	1	Positive	N/A	Isolated	394.1893	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
19-hydroxytabersonine.mgf	*..*	19-hydroxytabersonine	353.184	qTof	LC-ESI	26	O=C(C1=C(NC2=C3C=CC=C2)[C@]43[C@@]5([C@]([C@H](O)C)(C1)C=CCN5CC4)[H])OC	InChI=1S/C21H24N2O3/c1-13(24)20-8-5-10-23-11-9-21(19(20)23)15-6-3-4-7-16(15)22-17(21)14(12-20)18(25)26-2/h3-8,13,19,22,24H,9-12H2,1-2H3/t13-,19+,20+,21+/m1/s1	N/A	1	Positive	N/A	Isolated	352.1787	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
2_7_dihydroxyapogeissoschizine.mgf	*..*	2,7-dihydroxyapogeissoschizine	369.1809	qTof	LC-ESI	32	C/C=C1[C@]2([H])C[C@@]3([H])[C@@]4(O)N(C=C2C(OC)=O)C5=CC=CC=C5[C@@]4(O)CCN3C\1	InChI=1S/C21H24N2O4/c1-3-13-11-22-9-8-20(25)16-6-4-5-7-17(16)23-12-15(19(24)27-2)14(13)10-18(22)21(20,23)26/h3-7,12,14,18,25-26H,8-11H2,1-2H3/b13-3-/t14-,18-,20-,21-/m0/s1	N/A	1	Positive	N/A	Isolated	368.1736	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	154850-61-0	Mehdi Beniddir
20_epi_serpentinine.mgf	*..*	20'-episerpentinine	685.3384	qTof	LC-ESI	31	C/C=C(C1)\[C@]([C@@H](C(OC)=O)CC2=C[N+]3=C(C[C@@](C(C(OC)=O)=CO[C@H]4C)([H])[C@@]4([H])C3)C5=C2C(C=CC=C6)=C6N5)([H])C[C@@](N1CC7)([H])C8=C7C9=CC=CC=C9N8	InChI=1S/C42H44N4O5/c1-5-24-19-45-15-14-27-26-10-6-8-12-34(26)43-39(27)36(45)17-29(24)31(41(47)49-3)16-25-20-46-21-32-23(2)51-22-33(42(48)50-4)30(32)18-37(46)40-38(25)28-11-7-9-13-35(28)44-40/h5-13,20,22-23,29-32,36,43H,14-19,21H2,1-4H3/p+1/b24-5-/t23-,29-,30-,31-,32-,36-/m0/s1	N/A	1	Positive	N/A	Isolated	685.3384	Alexander Fox Ramos	M+	N/A	3	Picralima	Picralima nitida	N/A	N/A	Mehdi Beniddir
20_epi-ervatamine.mgf	*..*	20-epiervatamine	355.2025	qTof	LC-ESI	30	CC[C@H]1CN(C)C[C@]2(C(OC)=O)[C@H]1CC(C3=C(C4=CC=CC=C4N3)C2)=O	InChI=1S/C21H26N2O3/c1-4-13-11-23(2)12-21(20(25)26-3)10-15-14-7-5-6-8-17(14)22-19(15)18(24)9-16(13)21/h5-8,13,16,22H,4,9-12H2,1-3H3/t13-,16-,21-/m0/s1	N/A	1	Positive	N/A	Isolated	354.19434	Le Pogam	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
3_4_5_6_tetradehydrogeissoschizol.mgf	*..*	3,4,5,6-tetradehydrogeissoschizol	293.1648	qTof	LC-ESI	33	C/C=C(C1)\C(CCO)CC2=[N+]1C=CC3=C2NC4=CC=CC=C43	InChI=1S/C19H20N2O/c1-2-13-12-21-9-7-16-15-5-3-4-6-17(15)20-19(16)18(21)11-14(13)8-10-22/h2-7,9,14,22H,8,10-12H2,1H3/p+1/b13-2-	N/A	1	Positive	N/A	Isolated	293.1648	Alexander Fox Ramos	M+	N/A	3	N/A	N/A	N/A	N/A	Mehdi Beniddir
3_4_5_6_tetradehydrogeissospermine.mgf	*..*	3',4',5',6'-tetradehydrogeissospermine	629.3486	qTof	LC-ESI	34	C/C=C(C1)\[C@]([C@](C(OC)=O)([H])[C@]2([H])OC[C@]3([H])[C@]4([H])N2C5=C(C=CC=C5)[C@]46[C@]7([H])C[C@@]3([H])[C@H](CC)CN7CC6)([H])CC8=[N+]1C=CC9=C8NC%10=C9C=CC=C%10	InChI=1S/C40H44N4O3/c1-4-23-21-43-17-15-40-30-11-7-9-13-32(30)44-37(40)29(27(23)19-34(40)43)22-47-38(44)35(39(45)46-3)28-18-33-36-26(14-16-42(33)20-24(28)5-2)25-10-6-8-12-31(25)41-36/h5-14,16,23,27-29,34-35,37-38H,4,15,17-22H2,1-3H3/p+1/b24-5-/t23-,27+,28+,29+,34+,35-,37+,38+,40-/m1/s1	N/A	1	Positive	N/A	Isolated	629.3486	Alexander Fox Ramos	M+	N/A	3	Geissospermum	Geissospermum laeve	N/A	N/A	Mehdi Beniddir
3_4_5_6_tetradehydrolongicaudatine_Y.mgf	*..*	3',4',5',6'-tetradehydrolongicaudatine Y	567.3118	qTof	LC-ESI	35	[H][C@]12[C@]3(CCN4C/5)C6=CC=CC=C6N1C=C([C@]7([H])/C(C[N+](C=CC8=C9NC%10=CC=CC=C8%10)=C9C7)=C\C)[C@@H](O)[C@]2([H])[C@@](C5=C/C)([H])C[C@@]34[H]	InChI=1S/C38H38N4O/c1-3-22-19-40-15-13-25-24-9-5-7-11-30(24)39-35(25)32(40)17-26(22)28-21-42-31-12-8-6-10-29(31)38-14-16-41-20-23(4-2)27(18-33(38)41)34(36(28)43)37(38)42/h3-13,15,21,26-27,33-34,36-37,43H,14,16-20H2,1-2H3/p+1/b22-3-,23-4-/t26-,27-,33-,34-,36+,37-,38+/m0/s1	N/A	1	Positive	N/A	Isolated	567.3118	Alexander Fox Ramos	M+	N/A	3	N/A	N/A	N/A	N/A	Mehdi Beniddir
3_epimeloscine.mgf	*..*	3-epimeloscine	293.1648	qTof	LC-ESI	36	C=C[C@]12C[C@@]([C@@]3(CC4)[C@@]1([H])N4CC=C2)([H])C(NC5=C3C=CC=C5)=O	InChI=1S/C19H20N2O/c1-2-18-8-5-10-21-11-9-19(17(18)21)13-6-3-4-7-15(13)20-16(22)14(19)12-18/h2-8,14,17H,1,9-12H2,(H,20,22)/t14-,17-,18-,19-/m0/s1	N/A	1	Positive	N/A	Isolated	292.1576	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	24314-58-7	Mehdi Beniddir
3_oxotabernaelegantine_B.mgf	*..*	3'-oxotabernaelegantine B	721.396	qTof	LC-ESI	37	CN1C(C2C(OC)=O)CC3=C([C@@H](C4=CC5=C(NC6=C5CC[N@@](C7=O)[C@]8([H])[C@@]6(C(OC)=O)C[C@H]7C[C@@H]8CC)C=C4OC)CC2[C@H](CC)C1)NC9=C3C=CC=C9	InChI=1S/C43H52N4O6/c1-7-22-15-24-20-43(42(50)53-6)38-26(13-14-47(39(22)43)40(24)48)28-17-29(35(51-4)19-33(28)45-38)30-16-27-23(8-2)21-46(3)34(36(27)41(49)52-5)18-31-25-11-9-10-12-32(25)44-37(30)31/h9-12,17,19,22-24,27,30,34,36,39,44-45H,7-8,13-16,18,20-21H2,1-6H3/t22-,23+,24+,27?,30+,34?,36-,39-,43+/m0/s1	N/A	1	Positive	N/A	Isolated	720.3887	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	N/A	Mehdi Beniddir
3_R_S_hydroxytabernaelegantine_A.mgf	*..*	3-R,S-hydroxytabernaelegantine A	721.396	qTof	LC-ESI	38	CN1C(C2C(OC)=O)CC3=C([C@](C4=CC5=C(NC6=C5CC[N@](C7)[C@@]8([H])[C@]6(C(OC)=O)C[C@@]7([H])C[C@H]8CC)C=C4OC)(O)CC2[C@H](CC)C1)NC9=C3C=CC=C9	InChI=1S/C43H54N4O6/c1-7-24-15-23-19-42(41(49)53-6)37-27(13-14-47(21-23)39(24)42)28-16-31(35(51-4)18-33(28)45-37)43(50)20-30-25(8-2)22-46(3)34(36(30)40(48)52-5)17-29-26-11-9-10-12-32(26)44-38(29)43/h9-12,16,18,23-25,30,34,36,39,44-45,50H,7-8,13-15,17,19-22H2,1-6H3/t23-,24-,25-,30+,34+,36?,39-,42+,43+/m1/s1	N/A	1	Positive	N/A	Isolated	722.4043	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	N/A	Mehdi Beniddir
